Date,Day,Person,Core,Layer,Treatment,Weight_No_Top_Cap_g,time_capped,time_elapsed_hours,time_elapsed_minutes,time_sampled,EGM_Sample,CO2_ppm,Notes,ambient_air_ppm
3/25/2021,Thursday,Emily,13,plant,1,42.49,14:55,1:20:00,80,16:15,12,703,8&7,
3/25/2021,Thursday,Emily,13,organic,1,45.17,14:55,1:22:00,82,16:17,13,460,7&8,
3/25/2021,Thursday,Emily,13,mineral,1,46.34,14:55,1:24:00,84,16:19,14,757,9&8,
3/25/2021,Thursday,Emily,15,plant,1,42.9,14:56,1:25:00,85,16:21,15,642,8&7,
3/25/2021,Thursday,Emily,15,organic,1,45.116,14:56,1:27:00,87,16:23,16,585,7&7,
3/25/2021,Thursday,Emily,1C extra,mineral,1,,,16:25:00,985,16:25,17,2533,10&8,
3/25/2021,Thursday,Emily,3A,plant,2,41.95,15.48,-354:43:12,-21283.2,16:48,18,729,9&9,
3/25/2021,Thursday,Emily,3A,organic,2,45.21,15:48,1:02:00,62,16:50,19,554,9&8,
3/25/2021,Thursday,Emily,3A,mineral,2,43.56,15:48,1:04:00,64,16:52,20,434,8&8,
3/25/2021,Thursday,Emily,7B,plant,2,42.84,15:49,1:05:00,65,16:54,21,747,9&8,
3/25/2021,Thursday,Emily,7B,organic top,2,45.37,15:49,1:07:00,67,16:56,22,787,8&7,
3/25/2021,Thursday,Emily,7B,organic bottom,2,46.06,15:49,1:09:00,69,16:58,23,804,8&7,
3/25/2021,Thursday,Emily,8A,plant,2,43.33,15:50,1:10:00,70,17:00,24,670,8&8,
3/25/2021,Thursday,Emily,8A,organic,2,45.02,15:50,1:12:00,72,17:02,25,507,8&8,
3/25/2021,Thursday,Emily,8A,mineral,2,44.96,15:50,1:14:00,74,17:04,26,464,8&7,
3/25/2021,Thursday,Emily,9,plant,2,41.04,15:52,1:15:00,75,17:07,27,487,8&9,
3/25/2021,Thursday,Emily,9,organic,2,44.99,15:52,1:17:00,77,17:09,28,799,8&7,
3/25/2021,Thursday,Emily,9,mineral,2,48.08,15:52,1:19:00,79,17:11,29,536,7&7,
3/25/2021,Thursday,Emily,14A,plant ,2,43.31,15:53,1:20:00,80,17:13,30,665,8&7,
3/25/2021,Thursday,Emily,14A,organic,2,40.72,15:53,1:22:00,82,17:15,31,520,8&8,
3/25/2021,Thursday,Emily,16,plant,2,42.18,15:55,1:22:00,82,17:17,32,632,10&8,
3/25/2021,Thursday,Emily,16,organic,2,45.36,15:55,1:24:00,84,17:19,33,547,7&7,
3/25/2021,Thursday,Emily,16,mineral,2,44.25,15:55,1:26:00,86,17:21,34,495,"8&8, Lab Temp: 21.7",396
,,,,,,,,,,,,,,
3/29/2021,Monday,Emily,1C,plant,1,42.22,14:05,1:00:00,60,15:05,1,519,"8&8, lab temp: 21.7C",419
3/29/2021,Monday,Emily,1C,organic,1,42.7,14:05,1:02:00,62,15:07,2,383,7&7,
3/29/2021,Monday,Emily,1C,mineral,1,43.82,14:05,1:04:00,64,15:09,3,384,7&8,
3/29/2021,Monday,Emily,4B,plant,1,42.47,14:06,1:05:00,65,15:11,4,475,8&9,
3/29/2021,Monday,Emily,4B,organic top,1,46.41,14:06,1:07:00,67,15:13,5,469,7&7,
3/29/2021,Monday,Emily,4B,organic bottom,1,40.17,14:06,1:09:00,69,15:15,6,423,8&8,
3/29/2021,Monday,Emily,6B,plant,1,43.06,14:07,1:10:00,70,15:17,7,571,8&8,
3/29/2021,Monday,Emily,6B,organic,1,44.25,14:07,1:12:00,72,15:19,8,476,8&7,
3/29/2021,Monday,Emily,6B,mineral,1,47.96,14:07,1:14:00,74,15:21,9,383,7&7,
3/29/2021,Monday,Emily,10,plant,1,43.36,14:08,1:14:00,74,15:22,10,502,7&7,
3/29/2021,Monday,Emily,10,organic,1,44.47,14:08,1:16:00,76,15:24,11,460,9&7,
3/29/2021,Monday,Emily,13,plant,1,42.51,14:08,1:18:00,78,15:26,12,629,7&7,
3/29/2021,Monday,Emily,13,organic,1,45.19,14:09,1:19:00,79,15:28,13,453,7&7,
3/29/2021,Monday,Emily,13,mineral,1,46.4,14:09,1:21:00,81,15:30,14,386,7&7,
3/29/2021,Monday,Emily,15,plant,1,42.91,14:09,1:23:00,83,15:32,15,506,7&7,
3/29/2021,Monday,Emily,15,organic,1,45.2,14:10,1:24:00,84,15:34,16,576,8&7,
3/29/2021,Monday,Emily,3A,plant,2,41.72,14:51,1:00:00,60,15:51,17,694,8&8,
3/29/2021,Monday,Emily,3A,organic,2,45,14:51,1:02:00,62,15:53,18,483,8&7,
3/29/2021,Monday,Emily,3A,mineral,2,43.36,14:51,1:04:00,64,15:55,19,442,8&7,
3/29/2021,Monday,Emily,7B,plant,2,42.61,14:52,1:05:00,65,15:57,20,723,8&7,
3/29/2021,Monday,Emily,7B,organic top,2,45.1,14:52,1:07:00,67,15:59,21,758,8&7,
3/29/2021,Monday,Emily,7B,organic bottom,2,45.83,14:52,1:09:00,69,16:01,22,749,8&8,
3/29/2021,Monday,Emily,8A,plant,2,43.13,14:53,1:10:00,70,16:03,23,699,8&7,
3/29/2021,Monday,Emily,8A,organic,2,44.82,14:53,1:12:00,72,16:05,24,457,8&7,
3/29/2021,Monday,Emily,8A,mineral,2,44.74,14:53,0:13:00,13,15:06,25,409,7&7,
3/29/2021,Monday,Emily,9,plant,2,40.84,14:54,1:14:00,74,16:08,26,503,8&7,
3/29/2021,Monday,Emily,9,organic,2,44.77,14:54,1:16:00,76,16:10,27,805,7&7,
3/29/2021,Monday,Emily,9,mineral,2,47.85,14:54,1:18:00,78,16:12,28,545,9&7,
3/29/2021,Monday,Emily,14A,plant,2,43.06,14:55,1:19:00,79,16:14,29,640,7&7,
3/29/2021,Monday,Emily,14A,organic,2,40.51,14:55,1:21:00,81,16:16,30,514,8&7,
3/29/2021,Monday,Emily,16,plant,2,41.94,14:56,1:22:00,82,16:18,31,609,8&7,
3/29/2021,Monday,Emily,16,organic,2,45.12,14:56,1:23:00,83,16:19,32,526,8&7,
3/29/2021,Monday,Emily,16,mineral,2,44.03,14:56,1:25:00,85,16:21,33,454,"6&7, lab temp: 22.4C",439
,,,,,,,,,,,,,,
4/1/2021,Thursday,Jillian,1C,plant,1,42.15,12:26,1:00:00,60,13:26,1,551,"9&8, lab 21.5C",482
4/1/2021,Thursday,Jillian,1C,organic,1,42.58,12:27,1:03:00,63,13:30,2,392,8&8,
4/1/2021,Thursday,Jillian,1C,mineral,1,43.69,12:27,1:04:00,64,13:31,3,396,8&8,
4/1/2021,Thursday,Jillian,4B,plant,1,42.28,12:27,1:06:00,66,13:33,4,533,7&8,
4/1/2021,Thursday,Jillian,4B,organic top,1,46.18,12:28,1:08:00,68,13:36,5,490,8&8,
4/1/2021,Thursday,Jillian,4B,organic bottom,1,39.97,12:28,1:10:00,70,13:38,6,441,8&8,
4/1/2021,Thursday,Jillian,6B,plant,1,42.83,12:31,1:08:00,68,13:39,7,578,8&8,
4/1/2021,Thursday,Jillian,6B,organic,1,44.02,12:32,1:10:00,70,13:42,8,472,7&8,
4/1/2021,Thursday,Jillian,6B,mineral,1,47.76,12:32,1:12:00,72,13:44,9,390,7&7,
4/1/2021,Thursday,Jillian,10,plant,1,42.11,12:37,1:08:00,68,13:45,10,525,9&8,
4/1/2021,Thursday,Jillian,10,organic,1,44.24,12:37,1:11:00,71,13:48,11,423,7&7,
4/1/2021,Thursday,Jillian,13,plant,1,42.25,12:38,1:12:00,72,13:50,12,670,8&7,
4/1/2021,Thursday,Jillian,13,organic,1,44.91,12:38,1:14:00,74,13:52,13,417,8&8,
4/1/2021,Thursday,Jillian,13,mineral,1,46.13,12:39,1:16:00,76,13:55,14,426,7&7,
4/1/2021,Thursday,Jillian,15,plant,1,42.62,12:39,1:19:00,79,13:58,15,541,8&7,
4/1/2021,Thursday,Jillian,15,organic,1,44.89,12:39,1:21:00,81,14:00,16,557,8&8,
4/1/2021,Thursday,Jillian,3A,plant,2,41.54,12:46,1:17:00,77,14:03,17,750,8&8,
4/1/2021,Thursday,Jillian,3A ,organic,2,44.85,12:46,1:19:00,79,14:05,18,480,8&7,
4/1/2021,Thursday,Jillian,3A,mineral,2,43.22,12:46,1:21:00,81,14:07,19,434,8&8,
4/1/2021,Thursday,Jillian,7B,plant,2,42.45,12:47,1:23:00,83,14:10,20,861,9&8,
4/1/2021,Thursday,Jillian,7B,organic top,2,44.94,12:47,1:24:00,84,14:11,21,885,8&7,
4/1/2021,Thursday,Jillian,7B,organic bottom ,2,45.67,12:47,1:26:00,86,14:13,22,818,8&7,
4/1/2021,Thursday,Jillian,8A,plant,2,42.98,12:48,1:27:00,87,14:15,23,753,8&8,
4/1/2021,Thursday,Jillian,8A,organic,2,44.68,12:48,1:30:00,90,14:18,24,477,8&8,
4/1/2021,Thursday,Jillian,8A,mineral,2,44.62,12:49,1:31:00,91,14:20,25,438,8&8,
4/1/2021,Thursday,Jillian,9,plant,2,40.7,12:49,1:33:00,93,14:22,26,519,8&7,
4/1/2021,Thursday,Jillian,9,organic,2,44.63,12:50,1:34:00,94,14:24,27,831,8&7,
4/1/2021,Thursday,Jillian,9,mineral,2,47.73,12:50,1:37:00,97,14:27,28,542,8&7,
4/1/2021,Thursday,Jillian,14A,plant,2,42.92,12:50,1:39:00,99,14:29,29,719,8&7,
4/1/2021,Thursday,Jillian,14A,organic,2,40.39,12:51,1:40:00,100,14:31,30,514,8&7,
4/1/2021,Thursday,Jillian,16,plant,2,41.79,12:51,1:43:00,103,14:34,31,613,8&7,
4/1/2021,Thursday,Jillian,16,organic,2,44.99,12:52,1:44:00,104,14:36,32,551,8&7,
4/1/2021,Thursday,Jillian,16,mineral,2,43.9,12:52,1:46:00,106,14:38,33,499,"8&7, half of soda lime is purple",
,,,,,,,,,,,,,,
4/5/2021,Monday,Emily,1C,plant,1,42.03,13:46,1:00:00,60,14:46,1,428,"10&13, EGM was acting weird and high C&B",401
4/5/2021,Monday,Emily,1C,organic,1,42.49,13:46,1:03:00,63,14:49,2,456,"7&8, lab temp: 21.8C",
4/5/2021,Monday,Emily,1C,mineral,1,43.58,13:47,1:04:00,64,14:51,3,498,8&8,
4/5/2021,Monday,Emily,4B,plant,1,42.18,13:47,1:06:00,66,14:53,4,718,9&8,
4/5/2021,Monday,Emily,4B,organic top,1,46.05,13:48,1:07:00,67,14:55,5,538,7&8,
4/5/2021,Monday,Emily,4B,organic bottom,1,39.89,13:48,1:09:00,69,14:57,6,616,7&7,
4/5/2021,Monday,Emily,6B,plant,1,42.73,13:49,1:10:00,70,14:59,7,720,10&9,
4/5/2021,Monday,Emily,6B,organic,1,43.96,13:49,1:12:00,72,15:01,8,572,7&7,
4/5/2021,Monday,Emily,6B,mineral,1,47.73,13:50,1:13:00,73,15:03,9,475,7&7,
4/5/2021,Monday,Emily,10,plant,1,42.04,13:50,1:14:00,74,15:04,10,714,8&6,
4/5/2021,Monday,Emily,10,organic,1,44.16,13:51,1:15:00,75,15:06,11,500,7&7,
4/5/2021,Monday,Emily,13,plant,1,42.18,13:52,1:16:00,76,15:08,12,700,7&7,
4/5/2021,Monday,Emily,13,organic,1,44.84,13:52,1:18:00,78,15:10,13,594,8&6,
4/5/2021,Monday,Emily,13,mineral,1,46.05,13:52,1:20:00,80,15:12,14,444,7&7,
4/5/2021,Monday,Emily,15,plant,1,42.52,13:53,1:21:00,81,15:14,15,590,7&7,
4/5/2021,Monday,Emily,15,organic,1,44.83,13:53,1:23:00,83,15:16,16,662,6&5,
4/5/2021,Monday,Emily,1C extra,mineral,1,,,,,15:18,17,3417,9&6,
4/5/2021,Monday,Emily,3A,plant,2,41.37,14:32,1:00:00,60,15:32,18,722,7&7,
4/5/2021,Monday,Emily,3A,organic,2,47.75,14:32,1:02:00,62,15:34,19,456,7&7,
4/5/2021,Monday,Emily,3A,mineral,2,43.11,14:35,1:01:00,61,15:36,20,405,7&7,
4/5/2021,Monday,Emily,7B,plant,2,42.3,14:35,1:03:00,63,15:38,21,748,7&7,
4/5/2021,Monday,Emily,7B,organic top,2,44.72,14:35,1:05:00,65,15:40,22,767,8&7,
4/5/2021,Monday,Emily,7B,organic bottom,2,45.46,14:36,1:06:00,66,15:42,23,730,7&6,
4/5/2021,Monday,Emily,8A,plant,2,42.81,14:36,1:08:00,68,15:44,24,649,7&6,
4/5/2021,Monday,Emily,8A,organic,2,44.48,14:36,1:09:00,69,15:45,25,481,6&6,
4/5/2021,Monday,Emily,8A,mineral,2,44.46,14:37,1:10:00,70,15:47,26,435,6&6,
4/5/2021,Monday,Emily,9,plant,2,40.5,14:37,1:15:00,75,15:52,27,466,6&6,
4/5/2021,Monday,Emily,9,organic,2,44.41,14:37,1:17:00,77,15:54,28,755,6&6,
4/5/2021,Monday,Emily,9,mineral,2,47.53,14:38,1:18:00,78,15:56,29,474,6&6,
4/5/2021,Monday,Emily,14A,plant,2,42.69,14:38,1:20:00,80,15:58,30,564,7&6,
4/5/2021,Monday,Emily,14A,organic,2,40.24,14:38,1:21:00,81,15:59,31,521,7&6,
4/5/2021,Monday,Emily,16,plant,2,41.59,14:39,1:22:00,82,16:01,32,612,7&6,
4/5/2021,Monday,Emily,16,organic,2,44.8,14:39,1:24:00,84,16:03,33,514,7&7,
4/5/2021,Monday,Emily,16,mineral,2,43.74,14:39,1:26:00,86,16:05,34,486,7&6,
,,,,,,,,,,,,,,
4/8/2021,Thursday,Emily,1C,plant,1,41.95,13:36,,,14:36,1,554,"8&8, Lab temp: 22.5C",424
4/8/2021,Thursday,Emily,1C,organic,1,42.43,13:37,,,14:38,2,411,8&7,
4/8/2021,Thursday,Emily,1C,mineral,1,43.53,13:38,,,14:40,3,420,8&7,
4/8/2021,Thursday,Emily,4B,plant,1,42.11,13:39,,,14:41,4,506,8&7,
4/8/2021,Thursday,Emily,4B,organic top,1,45.92,13:40,,,14:43,5,505,8&8,
4/8/2021,Thursday,Emily,4B,organic bottom,1,39.82,13:41,,,14:45,6,462,7&7,
4/8/2021,Thursday,Emily,6B,plant,1,42.69,13:42,,,14:47,7,600,7&7,
4/8/2021,Thursday,Emily,6B,organic,1,43.88,13:43,,,14:49,8,539,9&10,
4/8/2021,Thursday,Emily,6B,mineral,1,47.72,13:44,,,14:51,9,436,7&7,
4/8/2021,Thursday,Emily,10,plant ,1,41.94,13:45,,,14:53,10,530,7&6,
4/8/2021,Thursday,Emily,10,organic,1,44.09,13:46,,,14:55,11,469,7&7,
4/8/2021,Thursday,Emily,13,plant,1,42.1,13:47,,,14:56,12,641,8&7,
4/8/2021,Thursday,Emily,13,organic,1,44.77,13:48,,,14:58,13,419,7&7,
4/8/2021,Thursday,Emily,13,mineral,1,45.99,13:49,,,15:00,14,409,7&6,
4/8/2021,Thursday,Emily,15,plant,1,42.44,13:50,,,15:03,15,609,8&7,
4/8/2021,Thursday,Emily,15,organic,1,44.75,13:51,,,15:03,16,562,7&7,
4/8/2021,Thursday,Emily,3A,plant,2,41.17,14:22,,,15:22,17,686,"9&10, 22.2C",417
4/8/2021,Thursday,Emily,3A,organic,2,44.55,14:23,,,15:24,18,467,7&7,
4/8/2021,Thursday,Emily,3A,mineral,2,42.91,14:24,,,15:26,19,429,7&7,
4/8/2021,Thursday,Emily,7B,plant,2,42.08,14:24,,,15:28,20,730,7&6,
4/8/2021,Thursday,Emily,7B,organic top,2,44.56,14:24,,,15:29,21,842,8&7,
4/8/2021,Thursday,Emily,7B,organic bottom,2,45.29,14:25,,,15:32,22,742,7&6,
4/8/2021,Thursday,Emily,8A,plant,2,42.65,14:25,,,15:34,23,698,7&7,
4/8/2021,Thursday,Emily,8A,organic,2,44.35,14:26,,,15:35,24,466,7&7,
4/8/2021,Thursday,Emily,8A,mineral,2,44.32,14:27,,,15:37,25,406,7&7,
4/8/2021,Thursday,Emily,9,plant,2,40.34,14:28,,,15:39,26,498,7&7,
4/8/2021,Thursday,Emily,9,organic,2,44.26,14:29,,,15:41,27,799,7&6,
4/8/2021,Thursday,Emily,9,mineral,2,47.39,14:30,,,15:43,28,475,7&6,
4/8/2021,Thursday,Emily,14A,plant ,2,42.51,14:31,,,15:44,29,715,8&9,
4/8/2021,Thursday,Emily,14A,organic,2,40.11,14:32,,,15:46,30,561,7&6,
4/8/2021,Thursday,Emily,16,plant,2,41.4,14:33,,,15:48,31,835,8&6,
4/8/2021,Thursday,Emily,16,organic,2,44.61,14:34,,,15:50,32,584,8&7,
4/8/2021,Thursday,Emily,16,mineral,2,43.59,14:35,,,15:52,33,458,7&6,
,,,,,,,,,,,,,,
4/12/2021,Monday,Emily,1C,plant,1,41.87,11:06,,,12:06,1,594,"9&12, Lab Temp: 21.7C",413
4/12/2021,Monday,Emily,1C,organic,1,42.34,11:07,,,12:08,2,417,8&8,
4/12/2021,Monday,Emily,1C,mineral,1,43.46,11:08,,,12:10,3,474,8&8,
4/12/2021,Monday,Emily,4B,plant,1,42.01,11:09,,,12:12,4,493,8&10,
4/12/2021,Monday,Emily,4B,organic top,1,45.81,11:10,,,12:13,5,482,9&8,
4/12/2021,Monday,Emily,4B,organic bottom,1,39.79,11:11,,,12:15,6,432,7&9,
4/12/2021,Monday,Emily,6B,plant,1,42.61,11:12,,,12:17,7,562,8&11,
4/12/2021,Monday,Emily,6B,organic,1,43.81,11:13,,,12:19,8,470,8&8,
4/12/2021,Monday,Emily,6B,mineral,1,47.71,11:14,,,12:21,9,446,8&9,
4/12/2021,Monday,Emily,10,plant,1,41.86,11:15,,,12:23,10,505,8&10,
4/12/2021,Monday,Emily,10,organic,1,44.01,11:16,,,12:25,11,447,7&9,
4/12/2021,Monday,Emily,13,plant,1,42.03,11:17,,,12:26,12,693,9&7,
4/12/2021,Monday,Emily,13,organic,1,44.69,11:18,,,12:29,13,424,7&7,
4/12/2021,Monday,Emily,13,mineral,1,45.91,11:19,,,12:31,14,505,8&7,
4/12/2021,Monday,Emily,15,plant,1,42.35,11:20,,,12:33,15,680,10&9,
4/12/2021,Monday,Emily,15,organic,1,44.69,11:21,,,12:34,16,610,8&7,
4/12/2021,Monday,Emily,1C extra,mineral,1,,,,,12:36,17,3115,13&10,
4/12/2021,Monday,Emily,3A,plant,2,40.98,11:45,,,12:45,18,798,"9&8, Lab Temp: 21.5C",405
4/12/2021,Monday,Emily,3A,organic,2,44.37,11:46,,,12:47,19,532,10&15,
4/12/2021,Monday,Emily,3A,mineral,2,42.75,11:47,,,12:50,20,466,10&11,
4/12/2021,Monday,Emily,7B,plant,2,41.86,11:48,,,12:52,21,735,8&11,
4/12/2021,Monday,Emily,7B,organic top,2,44.31,11:49,,,12:54,22,953,8&8,
4/12/2021,Monday,Emily,7B,organic bottom,2,45.07,11:50,,,12:56,23,808,6&11,
4/12/2021,Monday,Emily,8A,plant,2,42.44,11:51,,,12:58,24,878,9&8,
4/12/2021,Monday,Emily,8A,organic,2,44.17,11:52,,,13:00,25,652,9&8,
4/12/2021,Monday,Emily,8A,mineral,2,44.13,11:53,,,13:02,26,558,9&8,
4/12/2021,Monday,Emily,9,plant,2,40.17,11:54,,,13:04,27,347,10&14,
4/12/2021,Monday,Emily,9,organic,2,44.05,11:55,,,13:07,28,938,9&9,
4/12/2021,Monday,Emily,9,mineral,2,47.22,11:56,,,13:09,29,808,9&8,
4/12/2021,Monday,Emily,14A,plant,2,42.3,11:57,,,13:10,30,747,7&7,
4/12/2021,Monday,Emily,14A,organic,2,39.94,11:58,,,13:13,31,572,8&7,
4/12/2021,Monday,Emily,16,plant,2,41.2,11:59,,,13:14,32,668,8&8,
4/12/2021,Monday,Emily,16,organic,2,44.41,12:00,,,13:16,33,572,8&7,
4/12/2021,Monday,Emily,16,mineral,2,43.38,12:01,,,13:18,34,582,8&8,